economy,year,GDP_per_capita,Life_expectancy,Healthcare_spending_per_capita,Infant_mortality_rate,Education_expenditure_pct_GDP,Population,income_group,region
ABW,2020.0,22855.9323200761,75.406,,,,108587.0,HIC,LCN
ABW,2021.0,27200.0610793969,73.655,,,3.61855755636695,107700.0,HIC,LCN
ABW,2022.0,30559.5335346581,76.226,,,,107310.0,HIC,LCN
AFE,2020.0,1344.10320999294,63.7664840026943,81.5518950187536,41.1258527019551,4.0905654220699,694446100.0,,
AFE,2021.0,1522.3933455926,62.9799991857494,92.3865748809452,40.0875597895277,4.36837948133246,713090928.0,,
AFE,2022.0,1628.31894446307,64.4870195456608,92.5815209732848,39.6730585330406,3.69766802106406,731821393.0,,
AFG,2020.0,510.787063366811,61.454,80.0892334,55.3,,39068979.0,LIC,MEA
AFG,2021.0,356.496214115892,60.417,81.52112579,53.6,,40000412.0,LIC,MEA
AFG,2022.0,357.261152798144,65.617,80.6516037,52.0,,40578842.0,LIC,MEA
AFW,2020.0,1680.03933212698,57.3644254011107,64.4074227528619,57.5502079306733,3.39874087928788,474569351.0,,
AFW,2021.0,1765.9547879785,57.3625716910274,72.2410946748859,56.4740436067272,3.09692638090381,485920997.0,,
AFW,2022.0,1796.66863273368,57.9878133945189,74.4213512159563,56.4303202171376,2.89168744551701,497387180.0,,
AGO,2020.0,1449.92286669308,63.116,55.93916321,42.3,2.66744733689285,33451132.0,LMC,SSF
AGO,2021.0,1925.87466082167,62.958,67.04656982,40.9,2.29719689513241,34532429.0,LMC,SSF
AGO,2022.0,2929.69445467272,64.246,101.25614166,39.6,2.38535898416633,35635029.0,LMC,SSF
ALB,2020.0,5370.77749956875,77.824,396.17477417,8.1,3.325040102005,2837849.0,UMC,ECS
ALB,2021.0,6413.28280828537,76.844,465.57043457,8.2,3.00555992126465,2811666.0,UMC,ECS
ALB,2022.0,6846.42669381643,78.769,414.35025024,8.3,2.72976994514465,2777689.0,UMC,ECS
AND,2020.0,37361.0900666982,79.418,3282.81738281,2.7,2.63213046553066,77380.0,HIC,ECS
AND,2021.0,42425.6996756291,82.331,3535.98974609,2.7,2.381921736037,78364.0,HIC,ECS
AND,2022.0,42414.0590092117,84.016,3192.31567383,2.6,2.64727997779846,79705.0,HIC,ECS
ARB,2020.0,5722.48099531674,70.7265588103862,325.636172435532,27.4244280775006,3.76860740670194,453723239.0,,
ARB,2021.0,6681.70895180141,70.4041144889903,334.396705984831,26.9837450907913,,460646603.0,,
ARB,2022.0,7931.61789279006,71.8760955992222,329.953683266806,27.7678438480466,,471352066.0,,
ARE,2020.0,37173.8754093066,81.936,2154.41113281,4.7,3.98417997360229,9401038.0,HIC,MEA
ARE,2021.0,43360.0211001327,79.083,2249.96313477,4.4,3.89403009414673,9575152.0,HIC,MEA
ARE,2022.0,49899.0652975197,80.487,2314.74511719,4.2,,10074977.0,HIC,MEA
ARG,2020.0,8535.59938004389,75.878,891.99621582,8.7,5.27689981460571,45191965.0,UMC,LCN
ARG,2021.0,10738.0179223384,73.948,1080.88208008,8.5,4.65393018722534,45312281.0,UMC,LCN
ARG,2022.0,13935.6811110049,75.806,1370.88464355,8.3,4.79263019561768,45407904.0,UMC,LCN
ARM,2020.0,4268.68093304583,73.3756097560976,535.2723999,10.2,2.70555996894836,2961500.0,UMC,ECS
ARM,2021.0,4685.17997128509,72.2780487804878,595.83544922,9.7,2.76784992218018,2962300.0,UMC,ECS
ARM,2022.0,6571.97445545099,74.7658536585366,674.78619385,9.3,2.4918999671936,2969200.0,UMC,ECS
ASM,2020.0,14489.2586563775,72.672,,,,49761.0,HIC,EAS
ASM,2021.0,15236.1604875571,72.708,,,,49225.0,HIC,EAS
ASM,2022.0,18017.4589383973,72.752,,,,48342.0,HIC,EAS
ATG,2020.0,15369.6082250401,77.161,883.50018311,7.8,3.0051830460864,91846.0,HIC,LCN
ATG,2021.0,17348.6006987182,77.197,843.4654541,7.7,2.50897393198865,92349.0,HIC,LCN
ATG,2022.0,20105.1989085164,77.483,1084.88330078,7.5,2.50368755552383,92840.0,HIC,LCN
AUS,2020.0,51791.540179984,83.2,5952.890625,3.2,5.38625001907349,25649248.0,HIC,EAS
AUS,2021.0,60607.7788605166,83.3,7039.57763672,3.2,5.34109020233154,25685412.0,HIC,EAS
AUS,2022.0,64997.0136536475,83.2,6730.99511719,3.2,5.05916023254395,26014399.0,HIC,EAS
AUT,2020.0,48716.4098900349,81.1926829268293,5531.0234375,2.9,5.57961988449097,8916864.0,HIC,ECS
AUT,2021.0,53648.7190742245,81.190243902439,6520.49072266,2.8,5.48071002960205,8955797.0,HIC,ECS
AUT,2022.0,52176.6649141178,81.2951219512195,5851.96240234,2.7,5.27748012542725,9041851.0,HIC,ECS
AZE,2020.0,4229.91064904503,70.312,245.21949768,15.6,4.33204984664917,10093121.0,UMC,ECS
AZE,2021.0,5408.04535175023,70.999,250.9887085,14.8,3.7020800113678,10137750.0,UMC,ECS
AZE,2022.0,7770.594223351,74.125,304.20162964,14.1,3.04690003395081,10141756.0,UMC,ECS
BDI,2020.0,210.008139902508,62.569,26.21934319,34.5,5.32158506838731,12617036.0,LIC,SSF
BDI,2021.0,214.091455416133,62.101,23.21740532,33.4,4.87114173892375,12965481.0,LIC,SSF
BDI,2022.0,250.634225368744,62.882,24.68718529,32.4,,13321097.0,LIC,SSF
BEL,2020.0,45906.2875805246,80.6951219512195,5144.98144531,3.2,6.75470018386841,11538604.0,HIC,ECS
BEL,2021.0,51658.238294958,81.790243902439,5743.62109375,3.2,6.38112020492554,11586195.0,HIC,ECS
BEL,2022.0,50822.2518538518,81.7487804878049,5404.62402344,3.1,6.27796983718872,11680210.0,HIC,ECS
BEN,2020.0,1200.19426631122,60.154,32.55360031,50.4,2.89898431911618,13070169.0,LMC,SSF
BEN,2021.0,1318.65158107487,59.61,34.03829193,49.1,3.09692638090381,13413417.0,LMC,SSF
BEN,2022.0,1266.42710981159,60.475,33.88216782,47.7,3.0972642678305,13759501.0,LMC,SSF
BFA,2020.0,825.237038782475,60.454,54.28778839,48.7,5.21148277030166,21478690.0,LIC,SSF
BFA,2021.0,895.535288442991,60.046,57.22399521,47.3,5.24913346712028,21995243.0,LIC,SSF
BFA,2022.0,836.118304593682,60.7,56.75708389,46.1,5.29456753304241,22509038.0,LIC,SSF
BGD,2020.0,2248.85078828233,71.421,51.00624084,24.9,2.13974351741877,166298024.0,LMC,SAS
BGD,2021.0,2482.84917843357,71.103,58.53958511,24.5,2.17090882504654,167658854.0,LMC,SAS
BGD,2022.0,2716.48592780431,74.265,61.09237671,24.4,2.08538657806243,169384897.0,LMC,SAS
BGR,2020.0,10769.9475699414,73.3560975609756,856.70440674,5.4,4.48297023773193,6550696.0,HIC,ECS
